ID;trained_criterion;est_criterion;phase;trial;position_old;old;new;img_clicked;ID_item;item;category;seeding_CO2;seeding_Kcal;crit_CO2;crit_kcal;judgment;input_values;rt_ms;time_stim_shown;first_input_time;input_times;day_posted;est_phase_time_min;age;gender;education_level;CO2_knowledge;Kcal_knowledge;SNS_1;SNS_2;SNS_3;quality;cheated;technical_problems;technical_problems_specific;technical_problems_insta;technical_problems_insta_specific;est_number_insta_posts;strategy;other_comments;participated_day;n_posts_liked;n_dates_liked
6gzniaar9m;Kcal;CO2;2AFC;0;left;trivia_10.PNG;trivia_21.PNG;right;NA;NA;NA;NA;NA;NA;NA;NA;NA;6959,00000000001;39588,000;NA;NA;4;0,415316666666667;20;male;Abitur;1;3;4;3;4;yes;no;no;NA;no;NA;20;NA;NA;1;30;13
6gzniaar9m;Kcal;CO2;2AFC;1;right;trivia_2.PNG;trivia_18.PNG;left;NA;NA;NA;NA;NA;NA;NA;NA;NA;1951,00000000000;46911,000;NA;NA;1;0,415316666666667;20;male;Abitur;1;3;4;3;4;yes;no;no;NA;no;NA;20;NA;NA;1;30;13
6gzniaar9m;Kcal;CO2;2AFC;2;right;trivia_8.PNG;trivia_20.PNG;left;NA;NA;NA;NA;NA;NA;NA;NA;NA;3668,00000000000;49244,000;NA;NA;13;0,415316666666667;20;male;Abitur;1;3;4;3;4;yes;no;no;NA;no;NA;20;NA;NA;1;30;13
6gzniaar9m;Kcal;CO2;2AFC;3;right;trivia_4.PNG;trivia_17.PNG;right;NA;NA;NA;NA;NA;NA;NA;NA;NA;6333,00000000000;53297,000;NA;NA;9;0,415316666666667;20;male;Abitur;1;3;4;3;4;yes;no;no;NA;no;NA;20;NA;NA;1;30;13
6gzniaar9m;Kcal;CO2;2AFC;4;left;trivia_6.PNG;trivia_19.PNG;left;NA;NA;NA;NA;NA;NA;NA;NA;NA;3139,00000000000;59994,000;NA;NA;2;0,415316666666667;20;male;Abitur;1;3;4;3;4;yes;no;no;NA;no;NA;20;NA;NA;1;30;13
6gzniaar9m;Kcal;CO2;2AFC;5;left;trivia_13.PNG;trivia_16.PNG;right;NA;NA;NA;NA;NA;NA;NA;NA;NA;2869,00000000000;63512,000;NA;NA;5;0,415316666666667;20;male;Abitur;1;3;4;3;4;yes;no;no;NA;no;NA;20;NA;NA;1;30;13
6gzniaar9m;Kcal;CO2;estimation;0;NA;NA;NA;NA;1;Zucchinis;fruit & vegetables;0;1;860;19;500;5,0,0;5143,00000000000;79461,000;NA;83532,83721,83904;13;15,483083333333342;20;male;Abitur;1;3;4;3;4;yes;no;no;NA;no;NA;20;NA;NA;1;30;13
6gzniaar9m;Kcal;CO2;estimation;1;NA;NA;NA;NA;33;Parmesan;dairy;0;1;7410;374;750;7,5,0;4601,00000000000;84986,000;NA;88695,88969,89090;5;15,483083333333342;20;male;Abitur;1;3;4;3;4;yes;no;no;NA;no;NA;20;NA;NA;1;30;13
6gzniaar9m;Kcal;CO2;estimation;2;NA;NA;NA;NA;25;Quark (low-fat);dairy;0;0;2450;70;400;4,0,0;4118,00000000001;89970,000;NA;93442,93587,93768;NA;15,483083333333342;20;male;Abitur;1;3;4;3;4;yes;no;no;NA;no;NA;20;NA;NA;1;30;13
6gzniaar9m;Kcal;CO2;estimation;3;NA;NA;NA;NA;16;Salami;meat & fish;1;0;5060;502;1000;1,0,0,0;2948,00000000000;94468,000;NA;96292,96470,96657,96820;NA;15,483083333333342;20;male;Abitur;1;3;4;3;4;yes;no;no;NA;no;NA;20;NA;NA;1;30;13
6gzniaar9m;Kcal;CO2;estimation;4;NA;NA;NA;NA;47;Quinoa (raw);grain products;0;0;1300;366;1500;1,5,0,0;3801,00000000000;97806,000;NA;100379,100655,101071,101255;NA;15,483083333333342;20;male;Abitur;1;3;4;3;4;yes;no;no;NA;no;NA;20;NA;NA;1;30;13
6gzniaar9m;Kcal;CO2;estimation;5;NA;NA;NA;NA;4;Carrots;fruit & vegetables;0;1;310;39;100;1,0,0;4470,00000000001;101987,000;NA;105759,105887,106070;1;15,483083333333342;20;male;Abitur;1;3;4;3;4;yes;no;no;NA;no;NA;20;NA;NA;1;30;13
6gzniaar9m;Kcal;CO2;estimation;6;NA;NA;NA;NA;5;Broccoli;fruit & vegetables;1;0;1180;34;100;1,0,0;2169,00000000000;106839,000;NA;108426,108571,108735;NA;15,483083333333342;20;male;Abitur;1;3;4;3;4;yes;no;no;NA;no;NA;20;NA;NA;1;30;13
6gzniaar9m;Kcal;CO2;estimation;7;NA;NA;NA;NA;26;Butter;dairy;1;0;10180;741;1000;1,0,0,0;2814,00000000002;109390,000;NA;111176,111305,111471,111904;NA;15,483083333333342;20;male;Abitur;1;3;4;3;4;yes;no;no;NA;no;NA;20;NA;NA;1;30;13
6gzniaar9m;Kcal;CO2;estimation;8;NA;NA;NA;NA;42;Gnocchi;grain products;0;0;600;150;500;5,0,0;5615,00000000000;112590,000;NA;117445,117575,117771;NA;15,483083333333342;20;male;Abitur;1;3;4;3;4;yes;no;no;NA;no;NA;20;NA;NA;1;30;13
6gzniaar9m;Kcal;CO2;estimation;9;NA;NA;NA;NA;39;Croissant;grain products;0;1;3390;332;1300;1,3,0,0;4151,00000000001;118589,000;NA;120462,122042,122171,122358;3;15,483083333333342;20;male;Abitur;1;3;4;3;4;yes;no;no;NA;no;NA;20;NA;NA;1;30;13
6gzniaar9m;Kcal;CO2;estimation;10;NA;NA;NA;NA;57;Marzipan;sweets;0;0;6250;512;300;3,0,0;3671,00000000000;123122,000;NA;126161,126322,126520;NA;15,483083333333342;20;male;Abitur;1;3;4;3;4;yes;no;no;NA;no;NA;20;NA;NA;1;30;13
